word,kk_valence_mean,kk_valence_sd,kk_arousal_mean,kk_arousal_sd,kk_concreteness_mean,kk_concreteness_sd,number_of_letters,number_of_syllables,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,resp_scale.response,resp_scale.rt,participant,session,date,expName,psychopyVersion,frameRate,expStart,
Butter,4.936508,0.948224,2.306452,1.825042,1.693548,1.064921,6,2,0,66,66,16,153.59923845899996,,5.0,0.8854944160000287,836666,001,2023-10-25_09h34.49.969,demo_experiment,2023.2.3,119.50191696607112,2023-10-25 09h34.55.986730 +0200,
Tugend,6.225807,2.1533,4.603175,2.366021,7.548387,2.013702,6,2,0,67,67,87,154.503620375,,2.0,1.5195269999999823,836666,001,2023-10-25_09h34.49.969,demo_experiment,2023.2.3,119.50191696607112,2023-10-25 09h34.55.986730 +0200,
Meer,6.451613,2.413605,5.428571,2.716225,2.253968,2.078835,4,1,0,68,68,59,156.03925558399996,,4.0,1.7955280420000008,836666,001,2023-10-25_09h34.49.969,demo_experiment,2023.2.3,119.50191696607112,2023-10-25 09h34.55.986730 +0200,
Tango,6.25,2.130653,4.796875,2.495581,3.774194,2.418639,5,2,0,69,69,81,157.85294058399998,,3.0,1.9854022079999822,836666,001,2023-10-25_09h34.49.969,demo_experiment,2023.2.3,119.50191696607112,2023-10-25 09h34.55.986730 +0200,
Picknick,6.258065,2.209781,4.671875,2.26817,3.301587,2.387028,8,2,0,70,70,68,159.855587084,,4.0,2.264156458000002,836666,001,2023-10-25_09h34.49.969,demo_experiment,2023.2.3,119.50191696607112,2023-10-25 09h34.55.986730 +0200,
Wohl,6.193548,1.982205,4.765625,2.355286,7.564516,2.093088,4,1,0,71,71,92,162.13694879199997,,2.0,1.5519875840000168,836666,001,2023-10-25_09h34.49.969,demo_experiment,2023.2.3,119.50191696607112,2023-10-25 09h34.55.986730 +0200,
Lampe,5.365079,0.97222,2.274194,1.917729,1.285714,0.633184,5,2,0,72,72,55,163.706271084,,5.0,1.5821869170000014,836666,001,2023-10-25_09h34.49.969,demo_experiment,2023.2.3,119.50191696607112,2023-10-25 09h34.55.986730 +0200,
Gunst,6.174603,1.631739,3.609375,2.272103,7.435484,1.770625,5,1,0,73,73,39,165.30613708399997,,2.0,3.154224666999994,836666,001,2023-10-25_09h34.49.969,demo_experiment,2023.2.3,119.50191696607112,2023-10-25 09h34.55.986730 +0200,
Gemahl,5.75,1.708987,3.984127,2.331358,4.349206,2.640618,6,2,0,74,74,34,168.477615875,,3.0,3.606589499999984,836666,001,2023-10-25_09h34.49.969,demo_experiment,2023.2.3,119.50191696607112,2023-10-25 09h34.55.986730 +0200,
Fluch,3.253968,2.257377,5.68254,2.428496,7.52381,1.82153,5,1,0,75,75,25,172.1040525,,2.0,7.900157208999985,836666,001,2023-10-25_09h34.49.969,demo_experiment,2023.2.3,119.50191696607112,2023-10-25 09h34.55.986730 +0200,
Bankrott,3.063492,2.614309,5.1875,2.724813,6.16129,2.920777,8,2,0,76,76,8,180.021036334,,1.0,3.123840833000031,836666,001,2023-10-25_09h34.49.969,demo_experiment,2023.2.3,119.50191696607112,2023-10-25 09h34.55.986730 +0200,
Tasche,5.09375,1.136952,2.412698,1.880588,1.596774,1.151758,6,2,0,77,77,83,183.16062508399997,,5.0,1.4720574170000305,836666,001,2023-10-25_09h34.49.969,demo_experiment,2023.2.3,119.50191696607112,2023-10-25 09h34.55.986730 +0200,
Geisel,2.857143,2.64488,6.460318,2.298845,4.0,2.61145,6,2,0,78,78,33,184.650469625,,4.0,3.51558154199995,836666,001,2023-10-25_09h34.49.969,demo_experiment,2023.2.3,119.50191696607112,2023-10-25 09h34.55.986730 +0200,
Harem,4.953125,2.058121,5.140625,2.474423,4.190476,2.614211,5,2,0,79,79,41,188.18356287499998,,2.0,6.583884667000007,836666,001,2023-10-25_09h34.49.969,demo_experiment,2023.2.3,119.50191696607112,2023-10-25 09h34.55.986730 +0200,
Schal,5.203125,1.544881,2.507937,1.990891,1.634921,1.248245,5,1,0,80,80,72,194.787985917,,5.0,2.8171994580000046,836666,001,2023-10-25_09h34.49.969,demo_experiment,2023.2.3,119.50191696607112,2023-10-25 09h34.55.986730 +0200,
Schuh,5.375,1.558387,2.734375,2.169355,1.31746,0.779276,5,1,0,81,81,75,197.621500667,,4.0,3.3624310420000256,836666,001,2023-10-25_09h34.49.969,demo_experiment,2023.2.3,119.50191696607112,2023-10-25 09h34.55.986730 +0200,
Tragik,4.171875,2.059085,5.09375,2.293668,8.290323,0.964741,6,2,0,82,82,84,201.00037729199997,,2.0,3.538857916999973,836666,001,2023-10-25_09h34.49.969,demo_experiment,2023.2.3,119.50191696607112,2023-10-25 09h34.55.986730 +0200,
Bündel,5.03125,0.835117,2.741936,2.087712,3.174603,2.317811,6,2,0,83,83,15,204.55728912499998,,2.0,2.4461106670000277,836666,001,2023-10-25_09h34.49.969,demo_experiment,2023.2.3,119.50191696607112,2023-10-25 09h34.55.986730 +0200,
Geheul,3.59375,2.068039,5.31746,2.347445,6.142857,2.381766,6,2,0,84,84,30,207.02172125,,2.0,1.8824668330000236,836666,001,2023-10-25_09h34.49.969,demo_experiment,2023.2.3,119.50191696607112,2023-10-25 09h34.55.986730 +0200,
Album,5.328125,1.2731,2.714286,1.852884,2.741936,2.126611,5,2,0,85,85,2,208.92176212500001,,5.0,3.228362500000003,836666,001,2023-10-25_09h34.49.969,demo_experiment,2023.2.3,119.50191696607112,2023-10-25 09h34.55.986730 +0200,
Wissen,6.15873,2.201219,4.68254,2.752274,7.870968,1.56272,6,2,0,86,86,91,212.16597025000002,,1.0,2.174983749999967,836666,001,2023-10-25_09h34.49.969,demo_experiment,2023.2.3,119.50191696607112,2023-10-25 09h34.55.986730 +0200,
Produkt,5.140625,0.870453,2.253968,1.645799,4.380952,2.942616,7,2,0,87,87,69,214.3591795,,4.0,1.5412473330000012,836666,001,2023-10-25_09h34.49.969,demo_experiment,2023.2.3,119.50191696607112,2023-10-25 09h34.55.986730 +0200,
Glaube,5.952381,2.239157,4.564516,2.287679,8.048387,1.768832,6,2,0,88,88,38,215.938670292,,3.0,1.7249711669999783,836666,001,2023-10-25_09h34.49.969,demo_experiment,2023.2.3,119.50191696607112,2023-10-25 09h34.55.986730 +0200,
Kotze,2.825397,2.636834,6.419355,2.329767,1.952381,1.507279,5,2,0,89,89,51,217.678289959,,5.0,1.676036374999967,836666,001,2023-10-25_09h34.49.969,demo_experiment,2023.2.3,119.50191696607112,2023-10-25 09h34.55.986730 +0200,
Gebäck,6.0625,1.717094,3.234375,2.180303,2.0,1.305725,6,2,0,90,90,28,219.37113049999996,,5.0,1.1026972500000056,836666,001,2023-10-25_09h34.49.969,demo_experiment,2023.2.3,119.50191696607112,2023-10-25 09h34.55.986730 +0200,
Lager,5.171875,1.1893,2.33871,2.032067,3.096774,2.434113,5,2,0,91,91,54,220.49132412499998,,5.0,0.9996953330000338,836666,001,2023-10-25_09h34.49.969,demo_experiment,2023.2.3,119.50191696607112,2023-10-25 09h34.55.986730 +0200,
Hölle,3.0,2.71003,6.555556,2.421528,6.774194,2.601509,5,2,0,92,92,46,221.509520959,,2.0,1.7018957919999593,836666,001,2023-10-25_09h34.49.969,demo_experiment,2023.2.3,119.50191696607112,2023-10-25 09h34.55.986730 +0200,
Mystik,5.730159,1.638315,4.90625,2.361858,7.887097,1.865167,6,2,0,93,93,60,223.23019054199997,,2.0,1.6705852500000447,836666,001,2023-10-25_09h34.49.969,demo_experiment,2023.2.3,119.50191696607112,2023-10-25 09h34.55.986730 +0200,
Betrug,3.25,2.519763,5.857143,2.638775,6.677419,2.386947,6,2,0,94,94,12,224.9175,,2.0,1.3433304590000148,836666,001,2023-10-25_09h34.49.969,demo_experiment,2023.2.3,119.50191696607112,2023-10-25 09h34.55.986730 +0200,
Urin,3.671875,1.782229,6.31746,2.220327,2.222222,1.72687,4,2,0,95,95,88,226.28034904199998,,5.0,1.5943846670000426,836666,001,2023-10-25_09h34.49.969,demo_experiment,2023.2.3,119.50191696607112,2023-10-25 09h34.55.986730 +0200,
Dampf,5.015625,0.604013,2.40625,1.55041,3.322581,2.487834,5,1,0,96,96,18,227.892198084,,5.0,1.2276785839999889,836666,001,2023-10-25_09h34.49.969,demo_experiment,2023.2.3,119.50191696607112,2023-10-25 09h34.55.986730 +0200,
Gedicht,6.333333,2.032002,4.634921,2.522809,3.777778,2.523723,7,2,0,97,97,29,229.138321709,,4.0,2.7402324999999905,836666,001,2023-10-25_09h34.49.969,demo_experiment,2023.2.3,119.50191696607112,2023-10-25 09h34.55.986730 +0200,
Hast,3.84375,2.001735,5.539683,2.551568,7.412698,1.914587,4,1,0,98,98,43,231.895387209,,2.0,2.0119097499999725,836666,001,2023-10-25_09h34.49.969,demo_experiment,2023.2.3,119.50191696607112,2023-10-25 09h34.55.986730 +0200,
Getier,4.380952,1.790914,4.546875,2.672195,4.015873,2.808352,6,2,0,99,99,35,233.92496299999996,,4.0,2.829339750000031,836666,001,2023-10-25_09h34.49.969,demo_experiment,2023.2.3,119.50191696607112,2023-10-25 09h34.55.986730 +0200,
