word,word_english,kk_valence_mean,kk_valence_sd,kk_arousal_mean,kk_arousal_sd,kk_concreteness_mean,kk_concreteness_sd,number_of_letters,number_of_syllables,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,resp_scale.response,resp_scale.rt,participant,session,date,expName,psychopyVersion,frameRate,expStart,
Wissen,knowledge,6.15873,2.201219,4.68254,2.752274,7.870968,1.56272,6,2,0,81,81,91,286.6503286999978,,1.0,3.475511299999198,375503,001,2023-10-31_18h26.26.703,demo_experiment,2023.2.3,60.0213796161937,2023-10-31 18h27.33.432668 +0100,
Mystik,mysticism,5.730159,1.638315,4.90625,2.361858,7.887097,1.865167,6,2,0,82,82,60,290.1583103999983,,1.0,3.0939771000012115,375503,001,2023-10-31_18h26.26.703,demo_experiment,2023.2.3,60.0213796161937,2023-10-31 18h27.33.432668 +0100,
Stress,stress,3.515625,2.316211,5.777778,2.574343,7.349206,2.033262,6,1,0,83,83,78,293.2835176000008,,1.0,1.422021999998833,375503,001,2023-10-31_18h26.26.703,demo_experiment,2023.2.3,60.0213796161937,2023-10-31 18h27.33.432668 +0100,
Tasche,bag,5.09375,1.136952,2.412698,1.880588,1.596774,1.151758,6,2,0,84,84,83,294.7357908999984,,5.0,2.7982845999977144,375503,001,2023-10-31_18h26.26.703,demo_experiment,2023.2.3,60.0213796161937,2023-10-31 18h27.33.432668 +0100,
Urin,urine,3.671875,1.782229,6.31746,2.220327,2.222222,1.72687,4,2,0,85,85,88,297.57047129999773,,5.0,2.3892765999989933,375503,001,2023-10-31_18h26.26.703,demo_experiment,2023.2.3,60.0213796161937,2023-10-31 18h27.33.432668 +0100,
Bonbon,candy,5.984127,1.755104,3.3125,2.069238,1.741936,1.213794,6,2,0,86,86,14,300.00168389999817,,5.0,1.5005370999970182,375503,001,2023-10-31_18h26.26.703,demo_experiment,2023.2.3,60.0213796161937,2023-10-31 18h27.33.432668 +0100,
Gezänk,fang,3.328125,2.047489,5.0625,2.455153,6.984127,2.105998,6,2,0,87,87,36,301.5332515000009,,1.0,2.536863999997877,375503,001,2023-10-31_18h26.26.703,demo_experiment,2023.2.3,60.0213796161937,2023-10-31 18h27.33.432668 +0100,
Irrsinn,insanity,3.9375,1.934441,5.539683,2.354306,7.419355,1.815673,7,2,0,88,88,50,304.10139290000006,,1.0,2.504526900000201,375503,001,2023-10-31_18h26.26.703,demo_experiment,2023.2.3,60.0213796161937,2023-10-31 18h27.33.432668 +0100,
Mama,mum,6.333333,2.429656,6.171875,2.250606,3.222222,2.660611,4,2,0,89,89,58,306.6377102999977,,4.0,2.397517699999298,375503,001,2023-10-31_18h26.26.703,demo_experiment,2023.2.3,60.0213796161937,2023-10-31 18h27.33.432668 +0100,
Kotze,vomit,2.825397,2.636834,6.419355,2.329767,1.952381,1.507279,5,2,0,90,90,51,309.06469350000043,,5.0,4.507312900001125,375503,001,2023-10-31_18h26.26.703,demo_experiment,2023.2.3,60.0213796161937,2023-10-31 18h27.33.432668 +0100,
